Week,Topic,Monday,Wednesday,Exercise
1,Data & open science with Python,5-Jan,7-Jan,
2,"Variable types & descriptive statistics",12-Jan,14-Jan,
3,Probability distributions,19-Jan,21-Jan,Assn 1 due
4,"Relationships, correlation, visualization",26-Jan,28-Jan,
5,Hypothesis testing,2-Feb,4-Feb,
6,Chi square,9-Feb,11-Feb,Assn 2 due
7,Z & T-tests,16-Feb,18-Feb,
8,ANOVA,23-Feb,25-Feb,
9,Linear regression,2-Mar,5-Mar,Assn 3 due
10,Logistic regression,9-Mar,11-Mar,
11,Finals Week,,,Final due 3/16